NoCiv,NoCivSuf,nomrue,OdoGener,OdoParti,OdoSpeci
935,,Rue des Épinettes,Rue,des,Épinettes
607,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
413,,Avenue de l'Étang,Avenue,de l',Étang
1782,,Chemin de la Cabane-Ronde,Chemin,de la,Cabane-Ronde
395,,Rue Terry-Fox,Rue,,Terry-Fox
400,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
1376,,Avenue Phillips,Avenue,,Phillips
1016,,Rue Barott,Rue,,Barott
1402,,Avenue Louise,Avenue,,Louise
2928,,Avenue de la Gare,Avenue,de la,Gare
538,,Rue Terry-Fox,Rue,,Terry-Fox
3380,,Rue de Champlain,Rue,de,Champlain
1228,,Rue du Havre,Rue,du,Havre
70,A,Rue de Glasgow,Rue,de,Glasgow
